Player,G,eFG%,TRB,AST,STL,BLK,TOV,PTS,AGE,YRS,POS
Trent Forrest,60,0.506,99,106,30,6,48,195,23,2,PG
Trey Burke,42,0.451,33,57,12,0,26,214,29,8,PG
Tyler Johnson,6,0.425,12,7,3,3,2,17,29,8,PG
Tyrell Terry,2,1,0,0,0,0,0,2,21,0,PG
Tyrese Maxey,75,0.552,240,321,55,32,88,1311,21,0,PG
Tyus Jones,73,0.524,176,324,66,2,46,632,25,4,PG
Zavier Simpson,4,0.375,21,30,5,4,10,44,24,3,PG
Aaron Henry,6,0.2,1,0,0,2,2,2,22,1,SF
Aaron Nesmith,52,0.481,89,22,20,5,31,196,22,1,SF
Abdel Nader,14,0.4,27,7,8,4,11,34,28,7,SF
Admiral Schofield,38,0.519,89,25,4,5,21,146,24,3,SF
Aleem Ford,5,0.35,15,2,1,0,4,14,24,3,SF
Alfonzo McKinnie,17,0.467,33,5,2,3,7,59,29,8,SF
Andre Iguodala,31,0.45,100,114,27,22,28,124,38,17,SF
Andrew Wiggins,73,0.543,325,161,76,51,111,1256,26,5,SF
Anthony Lamb,2,0,1,2,0,0,0,0,24,3,SF
Arnoldas Kulboka,2,0,0,0,0,0,0,0,24,3,SF
B.J. Johnson,4,0.52,15,0,0,1,0,26,26,5,SF
Brandon Ingram,55,0.498,320,307,34,26,151,1246,24,3,SF
Braxton Key,11,0.5,50,11,10,11,11,79,24,3,SF
Bruce Brown,72,0.543,345,148,77,52,56,647,25,4,SF
Caleb Martin,60,0.585,230,64,58,30,52,551,26,5,SF
Cam Reddish,49,0.485,105,48,47,15,57,497,22,1,SF
Cameron McGriff,3,0.429,15,3,0,1,0,14,24,3,SF
Cameron Oliver,2,0.7,6,3,1,1,0,23,25,4,SF
Cedi Osman,66,0.544,146,135,52,10,67,709,26,5,SF
Chandler Hutchison,6,0.5,5,2,0,0,4,4,25,4,SF
Chris Boucher,80,0.523,494,25,49,75,42,754,29,8,SF
CJ Elleby,58,0.453,227,87,35,19,56,339,21,0,SF
Cody Martin,71,0.554,285,179,88,32,61,544,26,5,SF
Corey Kispert,77,0.564,209,85,35,22,50,634,22,1,SF
Danny Green,62,0.555,157,64,60,37,45,366,34,13,SF
Danuel House Jr.,42,0.515,111,44,21,17,33,248,28,7,SF
David Nwaba,46,0.526,151,35,28,20,21,233,29,8,SF
DeAndre' Bembry,56,0.595,163,66,49,25,31,284,27,6,SF
De'Andre Hunter,53,0.506,176,68,36,21,69,709,24,3,SF
Deni Avdija,82,0.503,425,167,59,44,87,685,21,0,SF
Devin Vassell,71,0.516,306,136,76,41,58,872,21,0,SF
Dillon Brooks,32,0.475,102,88,36,8,50,590,26,5,SF
Dylan Windler,50,0.485,89,34,14,3,16,110,25,4,SF
Eugene Omoruyi,4,0.5,7,2,0,0,0,7,24,3,SF
Feron Hunt,2,0,1,1,1,0,1,0,22,1,SF
Franz Wagner,79,0.517,356,231,68,34,119,1197,20,-1,SF
George King,4,0,5,0,0,0,1,1,28,7,SF
Georgios Kalaitzakis,13,0.537,21,12,11,2,20,86,23,2,SF
Gordon Hayward,49,0.528,224,177,47,22,81,778,31,10,SF
Greg Brown III,48,0.476,135,35,26,24,36,225,20,-1,SF
Haywood Highsmith,19,0.446,26,6,2,3,3,43,25,4,SF
Ignas Brazdeikis,42,0.503,72,37,10,3,17,210,23,2,SF
Isaac Bonga,15,0.269,7,4,8,2,2,12,22,1,SF
Isaac Okoro,67,0.544,201,121,56,22,58,588,21,0,SF
Isaiah Livers,19,0.606,57,21,13,7,15,121,23,2,SF
Jake Layman,34,0.466,36,9,7,5,10,81,27,6,SF
Jalen McDaniels,55,0.565,170,58,26,22,36,340,24,3,SF
James Ennis III,7,0.521,12,3,2,2,2,29,31,10,SF
Javonte Green,65,0.597,276,60,67,32,30,468,28,7,SF
Jaylen Brown,66,0.541,404,231,70,18,178,1559,25,4,SF
Jaylen Hoard,7,0.539,84,17,6,5,8,103,22,1,SF
Jayson Tatum,76,0.526,609,334,75,49,217,2046,23,2,SF
Jemerrio Jones,2,0.667,3,0,1,0,0,4,26,5,SF
Jeremy Lamb,56,0.463,154,81,31,22,37,410,29,8,SF
Jimmy Butler,57,0.496,336,312,94,27,121,1219,32,11,SF
Joe Harris,14,0.617,56,14,7,2,16,158,30,9,SF
Joe Ingles,45,0.54,131,158,23,5,46,325,34,13,SF
Jonathan Kuminga,70,0.567,234,64,31,22,74,652,19,-2,SF
Jordan Nwora,62,0.488,221,59,25,17,57,487,23,2,SF
Josh Giddey,54,0.461,421,345,51,20,171,674,19,-2,SF
Josh Jackson,51,0.455,141,54,26,22,47,328,24,3,SF
Joshua Primo,50,0.452,113,81,20,23,57,288,19,-2,SF
Juan Toscano-Anderson,73,0.549,176,127,48,17,68,298,28,7,SF
Justin Anderson,16,0.458,46,33,8,6,8,102,28,7,SF
Justin Champagnie,36,0.537,72,11,8,4,8,81,20,-1,SF
Justin Holiday,74,0.528,190,128,57,33,70,749,32,11,SF
Justin Jackson,7,0.433,7,2,0,0,1,15,26,5,SF
Keita Bates-Diop,59,0.549,231,41,27,14,45,335,26,5,SF
Kelan Martin,30,0.474,55,21,13,9,14,171,26,5,SF
Keldon Johnson,75,0.545,457,158,58,14,92,1278,22,1,SF
Keljin Blevins,31,0.401,45,19,13,1,17,95,26,5,SF
Kelly Oubre Jr.,76,0.542,302,84,77,31,67,1137,26,5,SF
Kenrich Williams,49,0.525,220,108,44,10,46,363,27,6,SF
Kent Bazemore,39,0.428,69,34,25,9,21,132,32,11,SF
Kenyon Martin Jr.,79,0.591,297,101,34,40,60,696,21,0,SF
Kessler Edwards,48,0.502,172,31,29,24,42,284,21,0,SF
Kevin Huerter,74,0.559,254,203,55,26,91,892,23,2,SF
Kevin Knox,30,0.453,44,10,4,2,7,93,22,1,SF
Khris Middleton,66,0.522,356,358,76,18,190,1325,30,9,SF
Lauri Markkanen,61,0.542,345,81,45,30,54,900,24,3,SF
Leandro Bolmaro,35,0.361,43,21,6,0,13,50,21,0,SF
Louis King,10,0.404,12,9,2,1,0,45,22,1,SF
Malcolm Hill,19,0.587,35,8,7,3,3,72,26,5,SF
Matt Ryan,1,0.3,0,0,1,0,0,3,24,3,SF
Maurice Harkless,47,0.544,112,23,29,24,31,217,28,7,SF
Max Strus,68,0.602,202,92,28,16,57,721,25,4,SF
Michael Porter Jr.,9,0.408,59,17,10,2,12,89,23,2,SF
Mikal Bridges,82,0.601,347,185,96,36,68,1162,25,4,SF
Naji Marshall,55,0.444,142,62,33,8,46,313,24,3,SF
Nassir Little,42,0.541,236,54,25,36,40,410,21,0,SF
Norman Powell,45,0.549,145,96,42,21,69,853,28,7,SF
OG Anunoby,48,0.526,264,125,71,25,80,822,24,3,SF
Oshae Brissett,67,0.493,358,72,44,29,54,613,23,2,SF
Paris Bass,2,0.333,4,0,1,0,2,6,26,5,SF
Pat Connaughton,65,0.605,273,82,59,15,35,645,29,8,SF
Paul Watson,9,0.429,27,8,3,3,4,31,27,6,SF
Reggie Bullock,68,0.542,241,83,41,14,40,583,30,9,SF
RJ Barrett,70,0.466,408,208,43,16,151,1402,21,0,SF
Robert Woodard II,12,0.156,11,3,1,1,1,7,22,1,SF
Royce O'Neale,77,0.591,368,191,86,32,79,570,28,7,SF
Saddiq Bey,82,0.489,441,233,73,16,96,1321,22,1,SF
Sam Hauser,26,0.65,29,10,1,2,2,65,24,3,SF
Solomon Hill,13,0.2,23,12,4,2,1,8,30,9,SF
Svi Mykhailiuk,56,0.476,92,45,26,4,32,255,24,3,SF
Terance Mann,81,0.539,425,209,55,21,84,872,25,4,SF
Thanasis Antetokounmpo,48,0.555,101,22,16,12,26,171,29,8,SF
Theo Pinson,19,0.487,21,17,5,2,5,48,26,5,SF
Timothé Luwawu-Cabarrot,52,0.516,82,40,18,6,20,227,26,5,SF
Torrey Craig,78,0.541,310,91,46,36,67,516,31,10,SF
Tre Scott,2,0.5,2,0,1,1,0,6,25,4,SF
Trendon Watford,48,0.549,199,81,25,28,44,364,21,0,SF
Trevor Ariza,24,0.434,82,27,13,6,11,96,36,15,SF
Trey Murphy III,62,0.522,147,38,23,7,16,334,21,0,SF
Troy Brown Jr.,66,0.51,203,66,36,5,26,283,22,1,SF
Wes Iwundu,3,0.528,13,0,1,0,1,22,27,6,SF
Xavier Sneed,9,0.25,6,1,0,0,0,5,24,3,SF
Yuta Watanabe,38,0.504,92,21,11,16,19,163,27,6,SF
Yves Pons,12,0.406,12,1,1,4,1,13,22,1,SF
Ziaire Williams,62,0.54,129,65,35,12,41,501,20,-1,SF
Zylan Cheatham,1,0,0,0,0,0,0,0,26,5,SF
Aaron Wiggins,50,0.525,178,68,30,10,54,416,23,2,SG
Ade Murkey,1,0,0,0,0,0,0,0,24,3,SG
Ahmad Caver,1,1,0,0,0,0,0,2,25,4,SG
Alec Burks,81,0.499,397,239,85,26,91,944,30,9,SG
Alex Caruso,41,0.48,148,165,71,15,57,304,27,6,SG
Amir Coffey,69,0.556,197,124,38,15,45,619,24,3,SG
Anfernee Simons,57,0.555,151,221,30,6,115,988,22,1,SG
Anthony Edwards,72,0.527,343,275,105,46,190,1533,20,-1,SG
Armoni Brooks,54,0.467,103,62,28,11,27,288,23,2,SG
Austin Reaves,61,0.542,193,110,29,20,40,444,23,2,SG
Austin Rivers,67,0.53,114,90,51,6,54,403,29,8,SG
